name,molecule,ksize,sigma,expected_collisions,n_unique_kmers,n_theoretical_kmers_log10,n_unique_kmers_log10,unique_over_theoretical_log10
opisthokonta,protein20,31,20,0.02246166891459149,48695944,40.33192986558342,7.687492789309578,-32.64443707627384
opisthokonta,protein20,32,20,0.022578477852565254,48776394,41.6329598612474,7.688209690118972,-33.944750171128426
opisthokonta,protein20,33,20,0.022670865727384925,48849458,42.93398985691138,7.6888597494485476,-35.245130107462835
opisthokonta,protein20,34,20,0.022772091941450256,48914399,44.23501985257536,7.689436721817744,-36.54558313075762
opisthokonta,protein20,35,20,0.022843613793803983,48971002,45.536049848239344,7.689938990246906,-37.846110857992436
opisthokonta,protein20,36,20,0.02292907018144423,49023006,46.837079843903325,7.69039993786642,-39.14667990603691
opisthokonta,protein20,37,20,0.023002123711587257,49066935,48.138109839567306,7.690788930323271,-40.447320909244034
opisthokonta,protein20,38,20,0.023057320613167478,49105182,49.43913983523129,7.691127325020204,-41.74801251021108
opisthokonta,protein20,39,20,0.023096338856448646,49136993,50.74016983089527,7.691408575760971,-43.048761255134295
opisthokonta,protein20,40,20,0.023135532360288338,49163882,52.04119982655925,7.691646167636224,-44.34955365892303
opisthokonta,protein20,41,20,0.023177750452395368,49186883,53.34222982222323,7.691849301949626,-45.65038052027361
opisthokonta,protein20,42,20,0.023188939130175404,49202053,54.64325981788721,7.6919832244740585,-46.951276593413155
opisthokonta,protein20,43,20,0.023221037536163353,49214779,55.944289813551194,7.692095539237604,-48.25219427431359
opisthokonta,protein20,44,20,0.02323072091796616,49222878,57.245319809215175,7.692167002763333,-49.55315280645184
opisthokonta,protein20,45,20,0.023230356754695473,49225720,58.546349804879156,7.692192077064908,-50.85415772781425
opisthokonta,protein20,46,20,0.023225527830950516,49226266,59.84737980054314,7.692196894129484,-52.15518290641366
opisthokonta,protein20,47,20,0.023231925305421255,49221161,61.14840979620712,7.692151853372206,-53.45625794283491
opisthokonta,protein20,48,20,0.023215272733549026,49212858,62.4494397918711,7.69207858709438,-54.75736120477672
opisthokonta,protein20,49,20,0.02319785161766051,49203766,63.75046978753508,7.691998344442677,-56.0584714430924
opisthokonta,protein20,50,20,0.023178639124516523,49189782,65.05149978319906,7.691874897850918,-57.35962488534815
opisthokonta,dayhoff6,2,6,1.6796199638996066e-26,36,1.5563025007672873,1.5563025007672873,0.0
opisthokonta,dayhoff6,3,6,2.1767874732138902e-23,216,2.3344537511509307,2.3344537511509307,0.0
opisthokonta,dayhoff6,4,6,2.821116565285202e-20,1296,3.1126050015345745,3.1126050015345745,0.0
opisthokonta,dayhoff6,5,6,3.65616706860962e-17,7776,3.8907562519182184,3.890756251918218,-4.440892098500626e-16
opisthokonta,dayhoff6,6,6,4.6061463742177067e-14,46336,4.668907502301861,4.665918540181034,-0.002988962120827665
opisthokonta,dayhoff6,7,6,4.2753482201111764e-11,256045,5.447058752685505,5.40831629942989,-0.03874245325561532
opisthokonta,dayhoff6,8,6,1.7832783270192087e-08,1162291,6.225210003069149,6.065314874932301,-0.15989512813684836
opisthokonta,dayhoff6,9,6,2.330179314606132e-06,3985253,7.003361253452793,6.600455897379846,-0.40290535607294675
opisthokonta,dayhoff6,10,6,8.777929377778815e-05,10180319,7.781512503836437,7.007761386818926,-0.7737511170175111
